"","PanCK+Vim+MUC1+","PanCK+Vim+MUC1-","PanCK+Vim-MUC1+","PanCK+Vim-MUC1-","PanCK-Vim-MUC1-","PanCK-Vim+MUC1+","PanCK-Vim+MUC1-","PanCK-Vim-MUC1+","aSMA+CD90+PDGFRb+PDPN+CAV1+","aSMA+CD90+PDGFRb-PDPN+CAV1+","aSMA+CD90+PDGFRb-PDPN-CAV1+","aSMA+CD90+PDGFRb-PDPN-CAV1-","aSMA+CD90-PDGFRb-PDPN-CAV1+","aSMA+CD90-PDGFRb-PDPN-CAV1-","CD90+PDGFRb-PDPN-CAV1-","CD90-PDGFRb+PDPN-CAV1-","CD90-PDGFRb-PDPN+CAV1-","CD90-PDGFRb-PDPN-CAV1+"
"PanCK+Vim+MUC1+",242.942857142857,30.1744313011829,188.955555555556,28.4025052192067,11.4390134529148,0,12.597037037037,47.2388888888889,10.9012820512821,0,3.8562358276644,5.23664357197844,6.00918727915194,11.5334011529332,0,0,0,16.1961904761905
"PanCK+Vim+MUC1-",31.2060357901122,27.1042692844035,21.0619249823071,24.9757584708817,13.5051136989599,4.29835203720554,11.3527062629723,3.86851683348499,14.1349653531182,0,12.3818855112564,15.2507118585655,5.70025271930473,16.8062066504554,14.2524304391552,0,14.9582650894753,15.3635382815547
"PanCK+Vim-MUC1+",188.955555555556,20.6320897785866,0,21.6963581535607,31.7750373692078,104.975308641975,17.2900508351489,0,18.1688034188034,0,3.213529856387,6.54580446497306,13.3537495092265,21.1445687803775,0,0,31.4925925925926,26.9936507936508
"PanCK+Vim-MUC1-",25.4439109255393,25.2947697755219,22.1894572025052,29.6469687719738,12.3285818268628,5.91718858733473,9.73435534269379,5.5473643006263,11.6067929982335,0,7.56252929146607,14.6870633585173,4.53198101167774,16.2797930157139,16.466912976596,0,16.2722686151705,12.679689830003
"PanCK-Vim-MUC1-",15.2520179372197,13.7826754448602,29.6567015445939,12.7664007133696,56.1239985892074,31.7750373692078,39.5505759254374,39.7187967115097,36.6635046567782,0,17.5735410756231,15.5866465062811,33.2795797746756,16.7861413080667,25.0855558177956,0,16.523019431988,29.4146060217809
"PanCK-Vim+MUC1+",0,3.86851683348499,104.975308641975,7.88958478311297,46.6033881415047,236.194444444444,35.8151053013798,551.12037037037,181.688034188034,0,57.843537414966,15.2735437516038,76.7840596780526,14.8973098225387,24.8625730994152,0,94.4777777777778,0
"PanCK-Vim+MUC1-",13.3380392156863,12.1921491314148,17.2900508351489,10.2622613833286,38.902614379085,34.5801016702978,61.4527461246279,28.7138344226579,26.9325791855204,0,32.4377484327064,19.1496867877251,28.8676643802397,14.3941369291019,23.9850705194358,0,14.8200435729847,33.6626704014939
"PanCK-Vim-MUC1+",47.2388888888889,4.51326963906582,0,5.17754001391789,47.6625560538117,551.12037037037,35.1976034858388,515.333333333333,109.01282051282,0,14.4608843537415,11.4551578137028,157.741166077739,14.0563326551373,0,0,47.2388888888889,0
"aSMA+CD90+PDGFRb+PDPN+CAV1+",10.9012820512821,13.6142034716875,18.1688034188034,11.6067929982335,30.7973439116937,163.519230769231,24.5813222724987,109.012820512821,275.738310708899,0,40.601713762428,20.392698525493,42.7576787170427,17.2169281633931,8.60627530364373,0,5.45064102564103,23.3598901098901
"aSMA+CD90+PDGFRb-PDPN+CAV1+",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"aSMA+CD90+PDGFRb-PDPN-CAV1+",7.7124716553288,12.5792588190872,3.213529856387,8.49841115987105,16.3414477898783,61.057067271353,29.7913120803877,14.4608843537415,43.9388409209838,0,100.683290380999,38.4732997124947,25.3448715175116,18.1239160974665,40.3382563551737,0,30.8498866213152,36.35879494655
"aSMA+CD90+PDGFRb-PDPN-CAV1-",5.23664357197844,15.6974228093144,10.9096741082884,15.5069971119586,15.5426164314046,13.0916089299461,18.7132998233936,9.81870669745958,20.7703410907799,0,39.0744450205024,56.2302786331366,8.60437901402819,21.4053799111454,39.2748267898383,0,24.8740569668976,15.7099307159353
"aSMA+CD90-PDGFRb-PDPN-CAV1+",6.00918727915194,6.643460003794,20.0306242638398,5.72378224658262,33.8185203378282,66.7687475461327,30.1637635973117,125.191401648999,50.8469692851318,0,30.2503305209009,10.1309623874848,172.284677843771,17.8502816430556,24.5111586386461,0,47.0719670200235,52.3657748611812
"aSMA+CD90-PDGFRb-PDPN-CAV1-",13.2634113258732,17.5303237383101,20.6640103990053,17.2098089228789,16.4564308490983,13.9361930597943,14.2132208325853,11.172982366904,17.8823166914469,0,18.1680490100415,21.2255867061054,17.3765156062964,29.2450956334014,16.3895700594314,0,24.6526449643947,12.8515041418399
"CD90+PDGFRb-PDPN-CAV1-",0,14.8632488865476,0,16.5836995934513,23.078711352372,24.8625730994152,24.8625730994152,0,8.60627530364372,0,47.9492481203008,42.8922450467971,19.767063418263,15.592854848209,72.5718349928876,0,44.7526315789474,76.7187969924812
"CD90-PDGFRb+PDPN-CAV1-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD90-PDGFRb-PDPN+CAV1-",0,16.6346223839854,31.4925925925926,17.0119171885873,13.3455156950673,94.4777777777778,12.597037037037,47.2388888888889,5.45064102564103,0,27.9577097505669,20.2919938414165,48.0734982332156,23.3551373346897,22.3763157894737,0,156.377011494253,24.2942857142857
"CD90-PDGFRb-PDPN-CAV1+",16.1961904761905,16.5793578577928,53.9873015873016,13.4404712198032,26.1463164638053,0,33.6626704014939,0,37.3758241758242,0,38.0114674441205,15.7099307159353,57.51650681474,12.7279319866299,76.7187969924812,0,24.2942857142857,142.90756302521
