"cell_type","cell_type_assignment","Freq"
"PanCK+Vim+MUC1+",1,15
"PanCK+Vim+MUC1-",2,2198
"PanCK+Vim-MUC1+",3,9
"PanCK+Vim-MUC1-",4,1916
"PanCK-Vim-MUC1-",5,446
"PanCK-Vim+MUC1+",6,9
"PanCK-Vim+MUC1-",7,765
"PanCK-Vim-MUC1+",8,12
"aSMA+CD90+PDGFRb+PDPN+CAV1+",9,52
"aSMA+CD90+PDGFRb-PDPN+CAV1+",10,2
"aSMA+CD90+PDGFRb-PDPN-CAV1+",11,294
"aSMA+CD90+PDGFRb-PDPN-CAV1-",12,433
"aSMA+CD90-PDGFRb-PDPN-CAV1+",13,283
"aSMA+CD90-PDGFRb-PDPN-CAV1-",14,1966
"CD90+PDGFRb-PDPN-CAV1-",15,38
"CD90-PDGFRb+PDPN-CAV1-",16,1
"CD90-PDGFRb-PDPN+CAV1-",17,30
"CD90-PDGFRb-PDPN-CAV1+",18,35
